Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue_lineage,cell_fraction,genetic_tag,treatment,strain,treatment_medium,treatment_length
SRR13125084,RNA-Seq,86,11998487284,PRJNA680481,SAMN16881239,5069307286,HEK293T,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567109,GSM4932420,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T10:05:00Z,1,GSM4932420,"HEK293T cells that were cultured in DMEM that was either complete\, or that had been depleted of Arginine or Leucine for 3 or 6 hours.",SRP293782,embryonic kidney,,,,,"DMEM + 10% Dialized FBS, DMEM + 10% Dialized FBS -Arginine, DMEM + 10% Dialized FBS -Leucine. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz.","0, 3, and 6 hours. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz."
SRR13125085,RNA-Seq,86,12224913932,PRJNA680481,SAMN16881238,5140964124,HEK293T,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9567110,GSM4932421,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:57:00Z,1,GSM4932421,"HEK293T cells that were cultured in DMEM that was either complete\, or that had been depleted of Arginine or Leucine for 3 or 6 hours.",SRP293782,embryonic kidney,,,,,"DMEM + 10% Dialized FBS, DMEM + 10% Dialized FBS -Arginine, DMEM + 10% Dialized FBS -Leucine. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz.","0, 3, and 6 hours. Specific treatment for each well is defined in HEK293T_Starv_layout.csv.gz."
SRR13125086,RNA-Seq,86,8696613260,PRJNA680481,SAMN16881237,3639782297,HEK293T,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9567111,GSM4932422,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:36:00Z,1,GSM4932422,HEK293T cells that were cultured in DMEM + 10% FBS,SRP293782,embryonic kidney,,,,,DMEM + 10% FBS,
SRR13125087,RNA-Seq,86,17896517440,PRJNA680481,SAMN16881236,7338703941,hTERT RPE-1,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9567112,GSM4932423,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T10:07:00Z,1,GSM4932423,hTERT RPE1 FUCCI cells from either interphase or contact-inhibition G0 fractions.,SRP293782,"Retina, eye; pigmented epithelium",Contact-inhibition G0 and interphase cells. Specific cell fraction for each well is defined in RPE_G0_layout.csv.gz.,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and G0 treatments,,,
SRR13125088,RNA-Seq,86,9566203292,PRJNA680481,SAMN16881235,4071572786,hTERT RPE-1,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9567113,GSM4932424,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:42:00Z,1,GSM4932424,hTERT RPE1 FUCCI cells from either interphase or contact-inhibition G0 fractions.,SRP293782,"Retina, eye; pigmented epithelium",Contact-inhibition G0 and interphase cells. Specific cell fraction for each well is defined in RPE_G0_layout.csv.gz.,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and G0 treatments,,,
SRR13125089,RNA-Seq,86,9388469414,PRJNA680481,SAMN16881234,3987849854,hTERT RPE-1,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9567114,GSM4932425,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:40:00Z,1,GSM4932425,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
SRR13125090,RNA-Seq,86,9997673892,PRJNA680481,SAMN16881233,4224121419,hTERT RPE-1,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9567115,GSM4932426,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:38:00Z,1,GSM4932426,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
SRR13125091,RNA-Seq,86,12928123290,PRJNA680481,SAMN16881232,5287676919,hTERT RPE-1,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567116,GSM4932427,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T10:01:00Z,1,GSM4932427,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
SRR13125092,RNA-Seq,86,8828905942,PRJNA680481,SAMN16881231,3842147469,hTERT RPE-1,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9567117,GSM4932428,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:34:00Z,1,GSM4932428,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
SRR13125093,RNA-Seq,86,9404223410,PRJNA680481,SAMN16881230,4065761063,hTERT RPE-1,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9567118,GSM4932429,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-30T00:00:00Z,2020-11-24T09:39:00Z,1,GSM4932429,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,SRP293782,"Retina, eye; pigmented epithelium",Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase and Mitotic treatments,,,
